en_name,zh_name,unit,qc_code,qc_lower_limit,qc_upper_limit
diagnostic_value,诊断值,,,,
co2_signal_strength,二氧化碳信号强度,,,,
anemometer_diag,风速仪诊断值,,,,
u,u风速,,,,
v,v风速,,,,
w,w风速,,,,
vin_sf_mean,通量塔供电,,,,
VIN_1_1_1,电压,,,,
filename,原始数据文件名称,,,,
date,日期,,,,
time,时间,,,,
DOY,日序,,,,
daytime,昼/夜,,,,
file_records,文件记录数,,,,
used_records,使用记录数,,,,
Tau,动量通量,[kg+1m-1s-2],tau,-5.0,5.0
qc_Tau,动量通量质量标志,,,,
rand_err_Tau,动量通量随机误差,[kg+1m-1s-2],,,
H,显热通量,[W+1m-2],h,-800.0,800.0
qc_H,显热通量质量标志,,,,
rand_err_H,显热通量随机误差,[W+1m-2],,,
LE,潜热通量,[W+1m-2],le,-500.0,1000.0
qc_LE,潜热通量质量标志,,,,
rand_err_LE,潜热通量随机误差,[W+1m-2],,,
co2_flux,CO2通量,[μmol+1s-1m-2],co2_flux,-50.0,50.0
qc_co2_flux,CO2通量质量标志,,,,
rand_err_co2_flux,CO2通量随机误差,[μmol+1s-1m-2],,,
h2o_flux,H2O通量,[mmol+1s-1m-2],h2o_flux,-10.0,25.0
qc_h2o_flux,H2O通量质量标志,,,,
rand_err_h2o_flux,H2O通量随机误差,[mmol+1s-1m-2],,,
ch4_flux,甲烷通量,[μmol+1s-1m-2],ch4_flux,-50.0,50.0
qc_ch4_flux,甲烷通量质量标志,,,,
rand_err_ch4_flux,甲烷通量随机误差,[μmol+1s-1m-2],,,
H_strg,显热通量储存项,[W+1m-2],h_strg,-30.0,30.0
LE_strg,潜热通量储存项,[W+1m-2],le_strg,-30.0,30.0
co2_strg,CO2通量储存项,[μmol+1s-1m-2],co2_strg,-5.0,5.0
h2o_strg,H2O通量储存项,[mmol+1s-1m-2],h2o_strg,-0.5,0.5
ch4_strg,甲烷通量储存项,[μmol+1s-1m-2],ch4_strg,-5.0,5.0
co2_v-adv,CO2垂直移流项,[μmol+1s-1m-2],,,
h2o_v-adv,H2O垂直移流项,[mmol+1s-1m-2],,,
ch4_v-adv,甲烷垂直移流项,[μmol+1s-1m-2],,,
co2_molar_density,CO2气体摩尔密度,[mmol+1m-3],co2_molar_density,10.0,40.0
co2_mole_fraction,CO2气体摩尔比,[μmol+1mol_a-1],co2_mole_fraction,300.0,1000.0
co2_mixing_ratio,CO2气体混合比,[μmol+1mol_d-1],co2_mixing_ratio,300.0,1000.0
co2_time_lag,CO2滞后时间,[s],,,
co2_def_timelag,CO2滞后标志,,,,
h2o_molar_density,H2O气体摩尔密度,[mmol+1m-3],h2o_molar_density,0.0,2000.0
h2o_mole_fraction,H2O气体摩尔比,[mmol+1mol_a-1],h2o_mole_fraction,0.0,50.0
h2o_mixing_ratio,H2O气体混合比,[mmol+1mol_d-1],h2o_mixing_ratio,0.0,50.0
h2o_time_lag,H2O滞后时间,[s],,,
h2o_def_timelag,H2O滞后标志,,,,
ch4_molar_density,CH4气体摩尔密度,[mmol+1m-3],ch4_molar_density,0.0,200.0
ch4_mole_fraction,CH4气体摩尔比,[μmol+1mol_a-1],ch4_mole_fraction,0.0,100.0
ch4_mixing_ratio,CH4气体混合比,[μmol+1mol_d-1],ch4_mixing_ratio,0.0,100.0
ch4_time_lag,CH4滞后时间,[s],,,
ch4_def_timelag,CH4滞后标志,,,,
sonic_temperature,超声温度,[℃],sonic_temperature,-30.0,50.0
air_temperature,空气温度,[℃],air_temperature,-30.0,50.0
air_pressure,气压,[Pa],air_pressure,80000.0,110000.0
air_density,空气密度,[kg+1m-3],air_density,0.9,1.5
air_heat_capacity,空气热容,[J+1kg-1K-1],air_heat_capacity,1000.0,1050.0
air_molar_volume,空气摩尔体积,[m+3mol-1],air_molar_volume,0.015,0.03
ET,蒸散发,[mm+1hour-1],et,-1.0,2.0
water_vapor_density,水汽密度,[kg+1m-3],water_vapor_density,0.0,0.04
e,水汽分压,[Pa],e,0.0,5000.0
es,饱和水汽分压,[Pa],es,0.0,6000.0
specific_humidity,比湿,[kg+1kg-1],specific_humidity,0.0,0.03
RH,相对湿度,[%],rh,0.0,100.0
VPD,饱和水汽压差,[Pa],vpd,0.0,6000.0
Tdew,露点温度,[℃],tdew,-100.0,50.0
u_unrot,未旋转主风向风速,[m+1s-1],u_unrot,-10.0,10.0
v_unrot,未旋转侧风向风速,[m+1s-1],v_unrot,-10.0,10.0
w_unrot,未旋转垂直风速,[m+1s-1],w_unrot,-2.5,2.5
u_rot,旋转后主风向风速,[m+1s-1],,,
v_rot,旋转后侧风向风速,[m+1s-1],,,
w_rot,旋转后垂直风速,[m+1s-1],,,
wind_speed,平均风速,[m+1s-1],wind_speed,0.0,12.0
max_wind_speed,最大瞬时风速,[m+1s-1],max_wind_speed,0.0,30.0
wind_dir,风向,[deg_from_north],wind_dir,0.0,360.0
yaw,偏航角旋转角度,[deg],,,
pitch,俯仰角旋转角度,[deg],,,
roll,翻滚角旋转角度,[deg],,,
u*,摩擦速率,[m+1s-1],u_,0.0,3.0
TKE,湍流动能,[m+2s-2],,,
L,莫宁-奥布霍夫长度,[m],,,
(z-d)/L,莫宁-奥布霍夫稳定性参数,,,,
bowen_ratio,波文比,,,,
T*,标度温度,[K],,,
model,碳足迹模型,,,,
x_peak,通量贡献的峰值的上风向距离,[m],x_peak,0.0,10000.0
x_offset,累积通量贡献<1%的上风向距离,[m],x_offset,0.0,10000.0
x_10%,10%累积通量贡献的上风向距离,[m],x_10_,0.0,10000.0
x_30%,30%累积通量贡献的上风向距离,[m],x_30_,0.0,10000.0
x_50%,50%累积通量贡献的上风向距离,[m],x_50_,0.0,10000.0
x_70%,70%累积通量贡献的上风向距离,[m],x_70_,0.0,10000.0
x_90%,90%累积通量贡献的上风向距离,[m],x_90_,0.0,10000.0
un_Tau,未经修正动量通量,[kg+1m-1s-2],,,
Tau_scf,动量通量频率响应修正系数,,,,
un_H,未经修正显热通量,[W+1m-2],,,
H_scf,显热通量频率响应修正系数,,,,
un_LE,未经修正潜热通量,[W+1m-2],,,
LE_scf,潜热通量频率响应修正系数,,,,
un_co2_flux,未经修正CO2通量,[μmol+1s-1m-2],,,
co2_scf,CO2频率响应修正系数,,,,
un_h2o_flux,未经修正H2O通量,[mmol+1s-1m-2],,,
h2o_scf,H2O频率响应修正系数,,,,
un_ch4_flux,未经修正甲烷通量,[μmol+1s-1m-2],,,
ch4_scf,CH4频率响应修正系数,,,,
spikes_hf,变量异常值测试硬数据标志,,,,
amplitude_resolution_hf,变量振幅分辨率硬数据标志,,,,
drop_out_hf,变量漏失测试硬数据标志,,,,
absolute_limits_hf,变量绝对限制硬数据标志,,,,
skewness_kurtosis_hf,变量偏差和峰值硬数据标志,,,,
skewness_kurtosis_sf,变量歪斜和峰值测试软数据标志,,,,
discontinuities_hf,变量非连续性测试硬数据标志,,,,
discontinuities_sf,变量非连续性测试软数据标志,,,,
timelag_hf,气体浓度滞后测试硬数据标志,,,,
timelag_sf,气体浓度滞后测试软数据标志,,,,
attack_angle_hf,风冲角测试硬数据标识,,,,
non_steady_wind_hf,非平稳定性测试硬数据标志,,,,
u_spikes,主风向异常值数量,,,,
v_spikes,侧风向异常值数量,,,,
w_spikes,垂直风向异常值数量,,,,
ts_spikes,超声温度异常值数量,,,,
co2_spikes,CO2异常值数量,,,,
h2o_spikes,H2O异常值数量,,,,
ch4_spikes,CH4异常值数量,,,,
u_var,主风向方差,[m+2s-2],,,
v_var,侧风向方差,[m+2s-2],,,
w_var,垂直风向方差,[m+2s-2],,,
ts_var,超声温度方差,[K+2],,,
co2_var,CO2方差,,,,
h2o_var,H2O方差,,,,
ch4_var,甲烷方差,,,,
w/ts_cov,垂直风速与超声温度协方差,[m+1s-1K+1],,,
w/co2_cov,垂直风速与CO2协方差,,,,
w/h2o_cov,垂直风速与H2O协方差,,,,
w/ch4_cov,垂直风速与甲烷协方差,,,,
co2_mean,CO2气体摩尔比均值,[μmol+1mol_a-1],co2_mean,300.0,1000.0
h2o_mean,H2O气体摩尔比均值,[mmol+1mol_a-1],h2o_mean,0.0,50.0
dew_point_mean,平均露点温度,[C],dew_point_mean,-100.0,50.0
co2_signal_strength_7500_mean,CO2信号值,,co2_signal_strength_7500_mean,0.0,150.0
ALB_1_1_1,反照率,[%],alb_1_1_1,0.0,100.0
LWIN_1_1_1,入射长波辐射,[W/m^2],lwin_1_1_1,0.0,700.0
LWOUT_1_1_1,反射长波辐射,[W/m^2],lwout_1_1_1,0.0,700.0
PPFD_1_1_1,入射光合有效辐射,[μmol/m^2/s],ppfd_1_1_1,-5.0,2500.0
PTemp_1_1_1,数采温度,[℃],ptemp_1_1_1,-30.0,50.0
P_RAIN_1_1_1,下层降水量,[m],p_rain_1_1_1,0.0,0.1
P_RAIN_1_2_1,上层降水量,[m],p_rain_1_2_1,0.0,0.1
RH_1_1_1,下层空气相对湿度,[%],rh_1_1_1,0.0,100.0
RH_1_2_1,上层空气相对湿度,[%],rh_1_2_1,0.0,100.0
RN_1_1_1,净辐射,[W/m^2],rn_1_1_1,-300.0,1200.0
